type vertexCount density time
sc 10000 0.1 160200
bfs 10000 0.1 52800
dfs 10000 0.1 53600
sc 10000 0.1 158000
bfs 10000 0.1 53400
dfs 10000 0.1 53000
sc 10000 0.1 165600
bfs 10000 0.1 54600
dfs 10000 0.1 54000
sc 10000 0.1 159800
bfs 10000 0.1 53600
dfs 10000 0.1 53200
sc 10000 0.1 160600
bfs 10000 0.1 53600
dfs 10000 0.1 53400
sc 10000 0.5 813400
bfs 10000 0.5 268600
dfs 10000 0.5 276200
sc 10000 0.5 818000
bfs 10000 0.5 270600
dfs 10000 0.5 281600
sc 10000 0.5 789800
bfs 10000 0.5 260600
dfs 10000 0.5 270600
sc 10000 0.5 788600
bfs 10000 0.5 264000
dfs 10000 0.5 261800
sc 10000 0.5 790200
bfs 10000 0.5 261600
dfs 10000 0.5 262600
sc 10000 0.5 791200
bfs 10000 0.5 261400
dfs 10000 0.5 260000
sc 10000 0.5 809000
bfs 10000 0.5 263400
dfs 10000 0.5 265800
sc 10000 0.5 788800
bfs 10000 0.5 264000
dfs 10000 0.5 262000
sc 10000 0.5 786800
bfs 10000 0.5 259600
dfs 10000 0.5 260800
sc 10000 0.5 791000
bfs 10000 0.5 277000
dfs 10000 0.5 262600
sc 10000 1 1575600
bfs 10000 1 521600
dfs 10000 1 521400
sc 10000 1 1643200
bfs 10000 1 530800
dfs 10000 1 532600
sc 10000 1 1585200
bfs 10000 1 534800
dfs 10000 1 530000
sc 10000 1 1649600
bfs 10000 1 569600
dfs 10000 1 565200
sc 10000 1 1594200
bfs 10000 1 539800
dfs 10000 1 533000
sc 10000 1 1575200
bfs 10000 1 530800
dfs 10000 1 522600
sc 10000 1 1664200
bfs 10000 1 567200
dfs 10000 1 561400
sc 10000 1 1595800
bfs 10000 1 536000
dfs 10000 1 526000
sc 10000 1 1671600
bfs 10000 1 555400
dfs 10000 1 546800
sc 10000 1 1651400
bfs 10000 1 563200
dfs 10000 1 556000
